P (MPa),T (°C),VL (m3/kg),VV (m3/kg),UL (kJ/kg),UV (kJ/kg),DUvap (kJ/kg),HL (kJ/kg),HV (kJ/kg), DHvap (kJ/kg),SL [kJ/(kg K)],SV [kJ/(kg K)], DSvap [kJ/(kg K)]
0.028,22.94,8.601,,,,,,,,,,
0.032,25.16,8.553,,,,,,,,,,
0.036,27.15,8.511,,,,,,,,,,
0.04,28.96,8.473,,,,,,,,,,
0.045,31.01,8.431,,,,,,,,,,
0.05,32.87,8.394,,,,,,,,,,
0.055,34.58,8.36,,,,,,,,,,
0.06,36.16,8.329,,,,,,,,,,
0.065,37.63,8.301,,,,,,,,,,
0.07,39,8.275,,,,,,,,,,
0.075,40.29,8.25,,,,,,,,,,
0.08,41.51,8.227,,,,,,,,,,
0.085,42.66,8.206,,,,,,,,,,
0.09,43.76,8.186,,,,,,,,,,
0.095,44.81,8.167,,,,,,,,,,
0.1,45.81,8.149,,,,,,,,,,
0.11,47.68,8.115,,,,,,,,,,
0.12,49.42,8.085,,,,,,,,,,
0.13,51.03,8.057,,,,,,,,,,
0.14,52.55,8.031,,,,,,,,,,
0.16,55.31,7.985,,,,,,,,,,
0.18,57.8,7.944,,,,,,,,,,
0.2,60.06,7.907,,,,,,,,,,
0.24,64.05,7.844,,,,,,,,,,
0.28,67.52,7.791,,,,,,,,,,
0.32,70.59,7.745,,,,,,,,,,
0.36,73.35,7.705,,,,,,,,,,
0.4,75.86,7.669,,,,,,,,,,
0.45,78.72,7.629,,,,,,,,,,
0.5,81.32,7.593,,,,,,,,,,
0.5,81.32,7.593,,,,,,,,,,
0.55,83.71,7.561,,,,,,,,,,
0.6,85.93,7.531,,,,,,,,,,
0.65,87.99,7.504,,,,,,,,,,
0.7,89.93,7.479,,,,,,,,,,
0.75,91.76,7.456,,,,,,,,,,
0.8,93.49,7.434,,,,,,,,,,
0.85,95.13,7.414,,,,,,,,,,
0.9,96.69,7.394,,,,,,,,,,
0.95,98.18,7.376,,,,,,,,,,
1,99.61,7.359,,,,,,,,,,
1.1,102.3,7.327,,,,,,,,,,
1.2,104.8,7.298,,,,,,,,,,
1.3,107.1,7.271,,,,,,,,,,
1.4,109.3,7.246,,,,,,,,,,
1.5,111.3,7.223,,,,,,,,,,
1.6,113.3,7.201,,,,,,,,,,
1.7,115.1,7.181,,,,,,,,,,
1.8,116.9,7.162,,,,,,,,,,
1.9,118.6,7.144,,,,,,,,,,
2,120.2,7.127,,,,,,,,,,
2.1,121.8,7.111,,,,,,,,,,
2.2,123.3,7.095,,,,,,,,,,
2.3,124.7,7.08,,,,,,,,,,
2.4,126.1,7.066,,,,,,,,,,
2.5,127.4,7.052,,,,,,,,,,
2.6,128.7,7.039,,,,,,,,,,
2.7,130,7.027,,,,,,,,,,
2.8,131.2,7.015,,,,,,,,,,
2.9,132.4,7.003,,,,,,,,,,
3,133.5,6.992,,,,,,,,,,
3.1,134.6,6.981,,,,,,,,,,
3.2,135.7,6.97,,,,,,,,,,
3.3,136.8,6.96,,,,,,,,,,
3.4,137.8,6.95,,,,,,,,,,
3.5,138.9,6.94,,,,,,,,,,
3.6,139.8,6.931,,,,,,,,,,
3.7,140.8,6.922,,,,,,,,,,
3.8,141.8,6.913,,,,,,,,,,
3.9,142.7,6.904,,,,,,,,,,
4,143.6,6.896,,,,,,,,,,
4,143.6,6.896,,,,,,,,,,
4.2,145.4,6.879,,,,,,,,,,
4.4,147.1,6.864,,,,,,,,,,
4.6,148.7,6.849,,,,,,,,,,
4.8,150.3,6.834,,,,,,,,,,
5,151.8,6.821,,,,,,,,,,
5.2,153.3,6.808,,,,,,,,,,
5.4,154.8,6.795,,,,,,,,,,
5.6,156.1,6.783,,,,,,,,,,
5.8,157.5,6.771,,,,,,,,,,
6,158.8,6.759,,,,,,,,,,
6.2,160.1,6.748,,,,,,,,,,
6.4,161.4,6.737,,,,,,,,,,
6.6,162.6,6.727,,,,,,,,,,
6.8,163.8,6.717,,,,,,,,,,
7,164.9,6.707,,,,,,,,,,
7.2,166.1,6.698,,,,,,,,,,
7.4,167.2,6.688,,,,,,,,,,
7.6,168.3,6.679,,,,,,,,,,
7.8,169.4,6.67,,,,,,,,,,
8,170.4,6.662,,,,,,,,,,
8.2,171.4,6.653,,,,,,,,,,
8.4,172.4,6.645,,,,,,,,,,
8.6,173.4,6.637,,,,,,,,,,
8.8,174.4,6.629,,,,,,,,,,
9,175.4,6.621,,,,,,,,,,
9.2,176.3,6.614,,,,,,,,,,
9.4,177.2,6.606,,,,,,,,,,
9.6,178.1,6.599,,,,,,,,,,
9.8,179,6.592,,,,,,,,,,
10,179.9,6.585,,,,,,,,,,
10.5,182,6.568,,,,,,,,,,
11,184.1,6.552,,,,,,,,,,
11.5,186,6.537,,,,,,,,,,
12,188,6.522,,,,,,,,,,
12.5,189.8,6.507,,,,,,,,,,
13,191.6,6.494,,,,,,,,,,
13.5,193.3,6.48,,,,,,,,,,
14,195,6.468,,,,,,,,,,
14.5,196.7,6.455,,,,,,,,,,
15,198.3,6.443,,,,,,,,,,
15,198.3,6.443,,,,,,,,,,
15.5,199.8,6.431,,,,,,,,,,
16,201.4,6.42,,,,,,,,,,
16.5,202.9,6.409,,,,,,,,,,
17,204.3,6.398,,,,,,,,,,
17.5,205.7,6.388,,,,,,,,,,
18,207.1,6.378,,,,,,,,,,
18.5,208.5,6.368,,,,,,,,,,
19,209.8,6.358,,,,,,,,,,
19.5,211.1,6.348,,,,,,,,,,
20,212.4,6.339,,,,,,,,,,
21,214.9,6.321,,,,,,,,,,
22,217.2,6.304,,,,,,,,,,
23,219.6,6.287,,,,,,,,,,
24,221.8,6.271,,,,,,,,,,
25,224,6.256,,,,,,,,,,
26,226,6.241,,,,,,,,,,
27,228.1,6.226,,,,,,,,,,
28,230.1,6.212,,,,,,,,,,
29,232,6.199,,,,,,,,,,
30,233.9,6.186,,,,,,,,,,
31,235.7,6.173,,,,,,,,,,
32,237.5,6.16,,,,,,,,,,
33,239.2,6.148,,,,,,,,,,
34,240.9,6.136,,,,,,,,,,
35,242.6,6.124,,,,,,,,,,
36,244.2,6.113,,,,,,,,,,
37,245.8,6.102,,,,,,,,,,
38,247.3,6.091,,,,,,,,,,
39,248.9,6.08,,,,,,,,,,
40,250.4,6.07,,,,,,,,,,
41,251.8,6.059,,,,,,,,,,
42,253.3,6.049,,,,,,,,,,
43,254.7,6.039,,,,,,,,,,
44,256.1,6.029,,,,,,,,,,
45,257.4,6.02,,,,,,,,,,
46,258.8,6.01,,,,,,,,,,
47,260.1,6.001,,,,,,,,,,
48,261.4,5.992,,,,,,,,,,
49,262.7,5.983,,,,,,,,,,
50,263.9,5.974,,,,,,,,,,
51,265.2,5.965,,,,,,,,,,
52,266.4,5.956,,,,,,,,,,
53,267.6,5.948,,,,,,,,,,
54,268.8,5.939,,,,,,,,,,
55,270,5.931,,,,,,,,,,
56,271.1,5.922,,,,,,,,,,
57,272.3,5.914,,,,,,,,,,
58,273.4,5.906,,,,,,,,,,
59,274.5,5.898,,,,,,,,,,
60,275.6,5.89,,,,,,,,,,
61,276.7,5.882,,,,,,,,,,
62,277.7,5.875,,,,,,,,,,
63,278.8,5.867,,,,,,,,,,
64,279.8,5.859,,,,,,,,,,
65,280.9,5.852,,,,,,,,,,
66,281.9,5.844,,,,,,,,,,
67,282.9,5.837,,,,,,,,,,
68,283.9,5.829,,,,,,,,,,
69,284.9,5.822,,,,,,,,,,
70,285.8,5.815,,,,,,,,,,
71,286.8,5.808,,,,,,,,,,
72,287.7,5.8,,,,,,,,,,
73,288.7,5.793,,,,,,,,,,
74,289.6,5.786,,,,,,,,,,
75,290.5,5.779,,,,,,,,,,
76,291.4,5.772,,,,,,,,,,
77,292.4,5.765,,,,,,,,,,
78,293.2,5.759,,,,,,,,,,
79,294.1,5.752,,,,,,,,,,
80,295,5.745,,,,,,,,,,
81,295.9,5.738,,,,,,,,,,
82,296.7,5.732,,,,,,,,,,
83,297.6,5.725,,,,,,,,,,
84,298.4,5.718,,,,,,,,,,
85,299.3,5.712,,,,,,,,,,
86,300.1,5.705,,,,,,,,,,
87,300.9,5.699,,,,,,,,,,
88,301.7,5.692,,,,,,,,,,
89,302.5,5.686,,,,,,,,,,
90,303.3,5.679,,,,,,,,,,
90,303.3,5.679,,,,,,,,,,
91,304.1,5.673,,,,,,,,,,
92,304.9,5.666,,,,,,,,,,
93,305.7,5.66,,,,,,,,,,
94,306.5,5.654,,,,,,,,,,
95,307.2,5.647,,,,,,,,,,
96,308,5.641,,,,,,,,,,
97,308.8,5.635,,,,,,,,,,
98,309.5,5.628,,,,,,,,,,
99,310.3,5.622,,,,,,,,,,
100,311,5.616,,,,,,,,,,
102,312.5,5.604,,,,,,,,,,
104,313.9,5.591,,,,,,,,,,
106,315.3,5.579,,,,,,,,,,
108,316.7,5.567,,,,,,,,,,
110,318.1,5.555,,,,,,,,,,
112,319.4,5.542,,,,,,,,,,
114,320.8,5.53,,,,,,,,,,
116,322.1,5.518,,,,,,,,,,
118,323.4,5.506,,,,,,,,,,
120,324.7,5.494,,,,,,,,,,
122,325.9,5.482,,,,,,,,,,
124,327.2,5.47,,,,,,,,,,
126,328.4,5.458,,,,,,,,,,
128,329.6,5.446,,,,,,,,,,
130,330.9,5.434,,,,,,,,,,
132,332,5.422,,,,,,,,,,
134,333.2,5.409,,,,,,,,,,
136,334.4,5.397,,,,,,,,,,
138,335.5,5.385,,,,,,,,,,
140,336.7,5.373,,,,,,,,,,
142,337.8,5.36,,,,,,,,,,
144,338.9,5.348,,,,,,,,,,
146,340,5.336,,,,,,,,,,
148,341.1,5.323,,,,,,,,,,
150,342.2,5.311,,,,,,,,,,
152,343.2,5.298,,,,,,,,,,
154,344.3,5.285,,,,,,,,,,
156,345.3,5.272,,,,,,,,,,
158,346.3,5.259,,,,,,,,,,
160,347.4,5.246,,,,,,,,,,
160,347.4,5.246,,,,,,,,,,
162,348.4,5.233,,,,,,,,,,
164,349.4,5.22,,,,,,,,,,
166,350.3,5.206,,,,,,,,,,
168,351.3,5.193,,,,,,,,,,
170,352.3,5.179,,,,,,,,,,
172,353.3,5.165,,,,,,,,,,
174,354.2,5.15,,,,,,,,,,
176,355.1,5.136,,,,,,,,,,
178,356.1,5.121,,,,,,,,,,
180,357,5.106,,,,,,,,,,
182,357.9,5.091,,,,,,,,,,
184,358.8,5.075,,,,,,,,,,
186,359.7,5.059,,,,,,,,,,
188,360.6,5.043,,,,,,,,,,
190,361.5,5.026,,,,,,,,,,
192,362.3,5.008,,,,,,,,,,
194,363.2,4.99,,,,,,,,,,
196,364.1,4.971,,,,,,,,,,
198,364.9,4.952,,,,,,,,,,
200,365.7,4.931,,,,,,,,,,
202,366.6,4.91,,,,,,,,,,
204,367.4,4.887,,,,,,,,,,
206,368.2,4.863,,,,,,,,,,
208,369,4.837,,,,,,,,,,
210,369.8,4.808,,,,,,,,,,
212,370.6,4.776,,,,,,,,,,
214,371.4,4.739,,,,,,,,,,
216,372.2,4.695,,,,,,,,,,
218,372.9,4.638,,,,,,,,,,
220,373.7,4.545,,,,,,,,,,
